readable,original
alt_dog_breed__black_and_tan_coonhound,Black And Tan Coonhound.1
alt_dog_breed__black_russian_terrier,Black Russian Terrier.1
alt_dog_breed__bluetick_coonhound,Bluetick Coonhound.1
alt_dog_breed__bloodhound,Bloodhound.1
alt_dog_breed__boerboel,Boerboel.1
alt_dog_breed__border_collie,Border Collie.1
alt_dog_breed__border_terrier,Border Terrier.1
alt_dog_breed__borzoi,Borzoi.1
alt_dog_breed__boston_terrier,Boston Terrier.1
alt_dog_breed__bouvier_des_flandres,Bouvier Des Flandres.1
alt_dog_breed__boykin_spaniel,Boykin Spaniel.1
alt_dog_breed__boxer,Boxer.1
alt_dog_breed__briard,Briard.1
alt_dog_breed__brittany,Brittany.1
alt_dog_breed__brussels_griffon,Brussels Griffon.1
alt_dog_breed__bull_dog,Bull Dog.1
alt_dog_breed__bull_terrier,Bull Terrier.1
alt_dog_breed__bullmastiff,Bullmastiff.1
alt_dog_breed__cairn_terrier,Cairn Terrier.1
alt_dog_breed__canaan_dog,Canaan Dog.1
alt_dog_breed__cane_corso,Cane corso.1
alt_dog_breed__cardigan_welsh_corgi,Cardigan Welsh Corgi.1
alt_dog_breed__cavalier_king_charles_spaniel,Cavalier King Charles Spaniel.1
alt_dog_breed__cesky_terrier,Cesky Terrier.1
alt_dog_breed__chesapeake_bay_retriever,Chesapeake Bay Retriever.1
alt_dog_breed__chihuahua,Chihuahua.1
alt_dog_breed__chinese_crested,Chinese Crested.1
alt_dog_breed__chinese_shar_pei,Chinese Shar Pei.1
alt_dog_breed__chinook,Chinook.1
alt_dog_breed__chow_chow,Chow Chow.1
alt_dog_breed__cirneco_delletna,Cirneco dell'Etna.1
alt_dog_breed__clumber_spaniel,Clumber Spaniel.1
alt_dog_breed__cocker_spaniel_american,Cocker Spaniel-American.1
alt_dog_breed__cocker_spaniel_english,Cocker Spaniel-English.1
alt_dog_breed__collie_rough_and_smooth,Collie (Rough) & (Smooth).1
alt_dog_breed__coton_de_tulear,Coton de Tulear.1
alt_dog_breed__curly_coated_retriever,Curly Coated Retriever.1
alt_dog_breed__dachshund,Dachshund.1
alt_dog_breed__dalmatian,Dalmatian.1
alt_dog_breed__dandie_dinmont_terrier,Dandie Dinmont Terrier.1
alt_dog_breed__doberman_pinscher,Doberman Pinscher.1
alt_dog_breed__dogo_argentino,Dogo Argentino.1
alt_dog_breed__english_foxhound,English Foxhound.1
alt_dog_breed__english_setter,English Setter.1
alt_dog_breed__english_springer_spaniel,English Springer Spaniel.1
alt_dog_breed__english_toy_spaniel,English Toy Spaniel.1
alt_dog_breed__entlebucher_mountain_dog,Entlebucher Mountain Dog.1
alt_dog_breed__field_spaniel,Field Spaniel.1
alt_dog_breed__finnish_lapphund,Finnish Lapphund.1
alt_dog_breed__finnish_spitz,Finnish Spitz.1
alt_dog_breed__flat_coated_retriever,Flat Coated Retriever.1
alt_dog_breed__fox_terrier_smooth,Fox Terrier – Smooth.1
alt_dog_breed__fox_terrier_wirehair,Fox Terrier – Wirehair.1
alt_dog_breed__french_bulldog,French Bulldog.1
alt_dog_breed__german_pinscher,German Pinscher.1
alt_dog_breed__german_shepherd_dog,German Shepherd Dog.1
alt_dog_breed__german_shorthaired_pointer,German Shorthaired Pointer.1
alt_dog_breed__german_wirehaired_pointer,German Wirehaired Pointer.1
alt_dog_breed__giant_schnauzer,Giant Schnauzer.1
alt_dog_breed__glen_imaal_terrier,Glen Imaal Terrier.1
alt_dog_breed__golden_retriever,Golden Retriever.1
alt_dog_breed__gordon_setter,Gordon Setter.1
alt_dog_breed__grand_basset,Grand Basset.1
alt_dog_breed__great_dane,Great Dane.1
alt_dog_breed__great_pyrenees,Great Pyrenees.1
alt_dog_breed__great_swiss_mountain_dog,Great Swiss Mountain Dog.1
alt_dog_breed__greyhound,Greyhound.1
alt_dog_breed__griffon_vendeen,Griffon Vendéen.1
alt_dog_breed__harrier,Harrier.1
alt_dog_breed__havanese,Havanese.1
